T13,Gross domestic product and gross domestic product per capita,,,,,
Region/Country/Area,,Year,Series,Value,Footnotes,Source
499,Montenegro,1995,GDP in current prices (millions of US dollars),"1,215",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
499,Montenegro,2005,GDP in current prices (millions of US dollars),"2,280",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
499,Montenegro,2010,GDP in current prices (millions of US dollars),"4,143",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
499,Montenegro,2015,GDP in current prices (millions of US dollars),"4,055",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
499,Montenegro,2020,GDP in current prices (millions of US dollars),"4,781",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
499,Montenegro,2022,GDP in current prices (millions of US dollars),"6,238",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
499,Montenegro,2023,GDP in current prices (millions of US dollars),"7,530",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
499,Montenegro,1995,GDP per capita (US dollars),"1,924",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
499,Montenegro,2005,GDP per capita (US dollars),"3,595",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
499,Montenegro,2010,GDP per capita (US dollars),"6,554",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
499,Montenegro,2015,GDP per capita (US dollars),"6,455",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
499,Montenegro,2020,GDP per capita (US dollars),"7,864",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
499,Montenegro,2022,GDP per capita (US dollars),"10,149",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
499,Montenegro,2023,GDP per capita (US dollars),"11,885",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
499,Montenegro,1995,GDP in constant 2015 prices (millions of US dollars),"1,795",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
499,Montenegro,2005,GDP in constant 2015 prices (millions of US dollars),"3,079",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
499,Montenegro,2010,GDP in constant 2015 prices (millions of US dollars),"3,706",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
499,Montenegro,2015,GDP in constant 2015 prices (millions of US dollars),"4,055",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
499,Montenegro,2020,GDP in constant 2015 prices (millions of US dollars),"4,048",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
499,Montenegro,2022,GDP in constant 2015 prices (millions of US dollars),"4,869",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
499,Montenegro,2023,GDP in constant 2015 prices (millions of US dollars),"5,178",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
499,Montenegro,1995,GDP real rates of growth (percent),14.3,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
499,Montenegro,2005,GDP real rates of growth (percent),4.2,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
499,Montenegro,2010,GDP real rates of growth (percent),2.7,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
499,Montenegro,2015,GDP real rates of growth (percent),3.4,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
499,Montenegro,2020,GDP real rates of growth (percent),-15.3,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
499,Montenegro,2022,GDP real rates of growth (percent),6.4,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
499,Montenegro,2023,GDP real rates of growth (percent),6.3,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
500,Montserrat,1995,GDP in current prices (millions of US dollars),69,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
500,Montserrat,2005,GDP in current prices (millions of US dollars),49,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
500,Montserrat,2010,GDP in current prices (millions of US dollars),56,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
500,Montserrat,2015,GDP in current prices (millions of US dollars),61,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
500,Montserrat,2020,GDP in current prices (millions of US dollars),67,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
500,Montserrat,2022,GDP in current prices (millions of US dollars),72,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
500,Montserrat,2023,GDP in current prices (millions of US dollars),80,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
500,Montserrat,1995,GDP per capita (US dollars),"8,360",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
500,Montserrat,2005,GDP per capita (US dollars),"10,749",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
500,Montserrat,2010,GDP per capita (US dollars),"11,579",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
500,Montserrat,2015,GDP per capita (US dollars),"13,135",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
500,Montserrat,2020,GDP per capita (US dollars),"14,829",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
500,Montserrat,2022,GDP per capita (US dollars),"16,228",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
500,Montserrat,2023,GDP per capita (US dollars),"18,197",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
500,Montserrat,1995,GDP in constant 2015 prices (millions of US dollars),120,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
500,Montserrat,2005,GDP in constant 2015 prices (millions of US dollars),57,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
500,Montserrat,2010,GDP in constant 2015 prices (millions of US dollars),56,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
500,Montserrat,2015,GDP in constant 2015 prices (millions of US dollars),61,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
500,Montserrat,2020,GDP in constant 2015 prices (millions of US dollars),75,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
